x,y
1,69
1,70
1,71
1,72
1,73
2,66
2,67
2,74
2,75
3,65
3,69
3,70
3,71
3,72
3,76
3,77
3,78
3,79
3,80
3,81
4,64
4,67
4,68
4,73
4,74
4,75
4,82
4,83
4,84
4,85
5,62
5,63
5,66
5,76
5,77
5,78
5,79
5,80
5,81
5,86
6,61
6,62
6,65
6,82
6,83
6,84
6,87
6,88
7,60
7,64
7,84
7,85
7,88
7,89
8,59
8,62
8,63
8,86
8,90
9,58
9,61
9,62
9,87
9,88
9,91
9,92
10,56
10,57
10,60
10,61
10,88
10,89
10,93
11,53
11,54
11,55
11,58
11,59
11,90
11,91
11,94
11,95
12,50
12,51
12,52
12,56
12,57
12,58
12,91
12,92
12,96
12,97
12,98
12,99
12,100
12,101
12,102
13,49
13,50
13,53
13,54
13,55
13,93
13,94
13,95
13,103
13,104
14,47
14,48
14,51
14,52
14,53
14,96
14,97
14,98
14,99
14,100
14,101
14,102
14,105
14,106
15,46
15,49
15,50
15,103
15,104
15,107
15,108
16,46
16,48
16,49
16,104
16,105
16,108
16,109
16,110
17,45
17,47
17,106
17,107
17,111
17,112
17,113
17,114
17,115
17,116
17,117
17,118
17,119
17,120
17,121
17,122
18,45
18,47
18,107
18,108
18,109
18,122
18,123
19,45
19,47
19,110
19,111
19,112
19,113
19,114
19,115
19,116
19,117
19,118
19,119
19,120
19,121
19,124
20,44
20,46
20,121
20,122
20,125
21,44
21,46
21,122
21,123
21,125
21,126
22,44
22,46
22,123
22,126
22,127
23,44
23,46
23,124
23,127
23,128
24,44
24,46
24,125
24,128
24,129
25,43
25,45
25,126
25,129
25,130
26,43
26,45
26,127
26,130
26,131
27,43
27,45
27,128
27,131
27,132
28,43
28,45
28,129
28,132
29,42
29,45
29,130
29,133
30,42
30,44
30,131
30,134
31,42
31,44
31,131
31,132
31,134
31,135
32,42
32,44
32,132
32,135
32,136
33,42
33,44
33,133
33,136
33,137
34,42
34,44
34,134
34,137
34,138
35,42
35,44
35,135
35,139
36,42
36,44
36,136
36,137
36,140
37,42
37,44
37,137
37,138
37,140
38,42
38,44
38,138
38,141
39,42
39,44
39,139
39,142
40,42
40,44
40,140
40,143
41,42
41,44
41,141
41,144
42,44
42,142
42,145
42,146
43,41
43,43
43,143
43,147
44,41
44,43
44,144
44,145
44,147
44,148
45,41
45,43
45,145
45,149
46,40
46,43
46,146
46,147
46,149
46,150
47,40
47,42
47,147
47,150
48,40
48,42
48,148
48,151
49,40
49,42
49,148
49,149
49,151
49,152
50,39
50,40
50,41
50,149
50,152
51,39
51,42
51,97
51,98
51,99
51,100
51,150
51,152
51,153
52,39
52,41
52,42
52,96
52,100
52,101
52,150
52,153
53,39
53,41
53,96
53,98
53,99
53,101
53,102
53,151
53,154
54,38
54,40
54,95
54,98
54,99
54,102
54,103
54,151
54,152
54,154
55,38
55,40
55,95
55,97
55,100
55,104
55,105
55,152
55,155
56,37
56,40
56,94
56,95
56,101
56,102
56,105
56,106
56,153
56,155
56,156
57,37
57,39
57,94
57,96
57,103
57,107
57,153
57,156
58,37
58,39
58,93
58,96
58,104
58,105
58,108
58,154
58,157
59,36
59,90
59,91
59,92
59,95
59,105
59,106
59,109
59,154
59,155
59,158
60,36
60,38
60,88
60,89
60,90
60,93
60,94
60,106
60,107
60,110
60,155
60,156
60,159
61,35
61,36
61,38
61,87
61,88
61,91
61,92
61,108
61,111
61,156
61,157
61,159
61,160
62,35
62,37
62,84
62,85
62,86
62,89
62,90
62,109
62,112
62,113
62,157
62,161
63,35
63,37
63,82
63,83
63,87
63,88
63,89
63,110
63,113
63,114
63,158
63,159
63,162
64,34
64,36
64,37
64,81
64,82
64,84
64,85
